기준년월,HSK품목코드,수출입구분코드,수산물수출입품목명,수출입구분명,당월수출입중량(킬로그램),당월수출입미화금액(달러),당해누계수출입중량(킬로그램),당해누계수출입미화금액(달러)
Jul-23,2008995090,I,조제한 해조류 김 제외,수입,6236,61563,36309,372855
Jul-23,2102203010,I,클로렐라 효모(둥글넓적한 것),수입,0,0,560,20513
Jul-23,2102203090,I,클로렐라 효모(기타),수입,1010,17867,3491,63115
Jul-23,2102204010,I,스리루리나 효모(둥글넓적한 것),수입,773,19814,4758,146186
Jul-23,2102204090,I,스리루리나 효모(기타),수입,3804,32866,16886,381578
Jul-23,2104102000,I,어류의 수우프/ 브로드와 수우프 브로드 제조용 조제품,수입,18,314,7339,65620
Jul-23,2301201000,I,어류의 분.조분 및 펠리트,수입,4442042,7988809,34538337,63652302
Jul-23,2301209000,I,어류외기타 분.조분 및 펠리트,수입,13,102,921858,1307534
Jul-23,2501001010,I,암염(岩鹽),수입,549656,166660,1875113,709185
Jul-23,2501001020,I,천일염,수입,285169468,14495057,2441735999,107747204
Jul-23,2501009010,I,식염,수입,18729365,1706205,135382169,12515143
Jul-23,2501009020,I,순염화나트륨,수입,1009714,541014,10219932,5382614
Jul-23,2501009090,I,기타소금/해수,수입,14598260,998188,35533650,4684495
Jul-23,4103901010,I,원피(장어류의 것)(비유연처리의 것),수입,0,0,47,389
Jul-23,7101210000,I,양식진주(가공하지않은것),수입,265,125929,645,292144
Jul-23,7101220000,I,양식진주(가공한것),수입,196,302550,1465,1764881
Jul-23,7116101000,I,천연진주로만든 것,수입,3,1934,22,22530
Jul-23,7116102000,I,양식진주로 만든 것,수입,716,456696,4372,2790025
Jul-23,9601901090,I,패각(기타),수입,89570,90507,539230,717101
Jul-23,9606291000,I,조개껍질로 만든것,수입,1719,106630,9352,446803
